uid,catalog,number,species,scientificName,age,heightM,girthCm,canopyM,address,grade,lat,lng,coordinateQuality,sourcePage,sourceDocument
姑苏区-沧621,姑苏区,沧621,木樨,Osmanthus fragrans (Thunb.) Lour.,271,7.6,144,4.8,苏州一中,三级,31.336207,120.598056,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧622,姑苏区,沧622,木樨,Osmanthus fragrans (Thunb.) Lour.,201,8,163,8,苏州一中,三级,31.313227,120.586407,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧623,姑苏区,沧623,木瓜,Pseudocydonia sinensis (Thouin) C. K. Schneid,201,4.9,166,3,苏州一中,三级,31.313921,120.601104,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧624,姑苏区,沧624,紫薇,Lagerstroemia indica L.,121,4,113,2.6,苏州一中,三级,31.34173,120.630908,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧625,姑苏区,沧625,女贞,Ligustrum lucidum W. T. Aiton,161,11.2,148,6.8,苏州一中,三级,31.315111,120.644338,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧626,姑苏区,沧626,山茶,Camellia japonica L.,211,4.8,97,3,苏州一中,三级,31.34096,120.610342,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧627,姑苏区,沧627,黄杨,Buxus sinica (Rehder & E. H. Wilson) M. Cheng,121,4.4,107,1.7,苏州一中,三级,31.304052,120.650836,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧630,姑苏区,沧630,龙柏,Juniperus chinensis 'Kaizuca',241,10,113,5.4,公园路38号,三级,31.328546,120.592875,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧631,姑苏区,沧631,龙柏,Juniperus chinensis 'Kaizuca',451,9.5,185,8,公园路38号,二级,31.286429,120.621319,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧632,姑苏区,沧632,龙柏,Juniperus chinensis 'Kaizuca',401,8.5,152,7,公园路38号,二级,31.30037,120.602507,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
姑苏区-沧633,姑苏区,沧633,黄杨,Buxus sinica (Rehder & E. H. Wilson) M. Cheng,151,3,104,1.7,公园路38号,三级,31.287933,120.604048,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/c39761b4712441d9af389bf1cf5b1098/files/25574bf72502405aa8e3fff2c781aedf.docx
